junction,hour,day_of_week,weather,vehicles,congestion_score,high_congestion
Delhi Gate,8,Wed,Foggy,520,7.6,1
Sector 4,5,Sat,Rainy,120,1.7,0
Chetak Circle,12,Mon,Clear,273,4.0,0
Fatehsagar,20,Sat,Cloudy,97,1.4,0
Hathi Pol,1,Wed,Cloudy,68,1.0,0
Sector 4,7,Sun,Clear,55,0.8,0
Bapu Bazaar,20,Sat,Clear,133,1.9,0
Udiapole,1,Thu,Clear,204,3.0,0
Chetak Circle,3,Sun,Rainy,102,1.5,0
Fatehsagar,14,Sat,Rainy,156,2.3,0
Sector 4,3,Fri,Cloudy,150,2.2,0
Fatehsagar,12,Sat,Rainy,97,1.4,0
Bapu Bazaar,11,Fri,Foggy,184,2.7,0
Delhi Gate,12,Mon,Cloudy,236,3.4,0
Fatehsagar,13,Wed,Rainy,118,1.7,0
Sector 4,19,Sun,Clear,395,5.7,0
Fatehsagar,17,Sun,Foggy,403,5.9,0
Fatehsagar,5,Tue,Clear,241,3.5,0
Fatehsagar,10,Tue,Cloudy,431,6.3,0
Surajpole,1,Wed,Clear,171,2.5,0
Surajpole,22,Tue,Rainy,118,1.7,0
Delhi Gate,18,Sun,Rainy,395,5.7,0
Chetak Circle,18,Sat,Cloudy,596,8.7,1
Fatehsagar,4,Mon,Clear,86,1.3,0
Bapu Bazaar,18,Mon,Cloudy,346,5.0,0
Chetak Circle,1,Wed,Clear,64,0.9,0
Bapu Bazaar,9,Tue,Foggy,529,7.7,1
Chetak Circle,1,Sat,Rainy,142,2.1,0
Delhi Gate,10,Mon,Cloudy,404,5.9,0
Fatehsagar,17,Mon,Foggy,312,4.5,0
Fatehsagar,23,Thu,Foggy,203,3.0,0
Udiapole,14,Thu,Cloudy,198,2.9,0
Bapu Bazaar,8,Sun,Cloudy,387,5.6,0
Chetak Circle,22,Mon,Foggy,198,2.9,0
Chetak Circle,18,Wed,Clear,518,7.5,1
Hathi Pol,8,Fri,Foggy,273,4.0,0
Hathi Pol,2,Fri,Cloudy,215,3.1,0
Surajpole,20,Sat,Foggy,121,1.8,0
Udiapole,8,Mon,Clear,534,7.8,1
Sector 4,13,Mon,Rainy,265,3.9,0
Hathi Pol,18,Sun,Rainy,344,5.0,0
Sector 4,6,Mon,Foggy,84,1.2,0
Surajpole,15,Wed,Clear,168,2.4,0
Surajpole,15,Thu,Rainy,63,0.9,0
Surajpole,0,Mon,Foggy,296,4.3,0
Bapu Bazaar,3,Mon,Foggy,63,0.9,0
Bapu Bazaar,3,Sun,Clear,59,0.9,0
Delhi Gate,6,Tue,Cloudy,189,2.8,0
Delhi Gate,7,Sun,Foggy,87,1.3,0
Surajpole,16,Sun,Cloudy,157,2.3,0
Udiapole,4,Wed,Cloudy,168,2.4,0
Chetak Circle,6,Sat,Rainy,287,4.2,0
Bapu Bazaar,19,Mon,Cloudy,432,6.3,0
Udiapole,19,Sun,Clear,482,7.0,0
Fatehsagar,3,Sun,Rainy,59,0.9,0
Bapu Bazaar,5,Tue,Rainy,171,2.5,0
Bapu Bazaar,6,Sun,Rainy,194,2.8,0
Delhi Gate,17,Fri,Foggy,589,8.6,1
Chetak Circle,4,Sat,Foggy,244,3.6,0
Chetak Circle,19,Mon,Cloudy,579,8.4,1
Hathi Pol,2,Mon,Rainy,272,4.0,0
Sector 4,6,Tue,Rainy,164,2.4,0
Sector 4,21,Wed,Clear,50,0.7,0
Sector 4,13,Mon,Cloudy,61,0.9,0
Sector 4,6,Fri,Clear,152,2.2,0
Fatehsagar,4,Mon,Cloudy,53,0.8,0
Fatehsagar,21,Fri,Cloudy,219,3.2,0
Bapu Bazaar,4,Sat,Foggy,190,2.8,0
Surajpole,22,Sat,Foggy,147,2.1,0
Delhi Gate,1,Thu,Clear,155,2.3,0
Delhi Gate,20,Thu,Cloudy,134,2.0,0
Sector 4,21,Fri,Rainy,263,3.8,0
Bapu Bazaar,5,Wed,Foggy,170,2.5,0
Hathi Pol,14,Mon,Rainy,181,2.6,0
Udiapole,20,Sun,Clear,131,1.9,0
Surajpole,9,Mon,Foggy,480,7.0,0
Bapu Bazaar,22,Thu,Foggy,68,1.0,0
Surajpole,23,Sun,Cloudy,179,2.6,0
Surajpole,6,Fri,Clear,61,0.9,0
Surajpole,4,Sun,Cloudy,130,1.9,0
Bapu Bazaar,0,Mon,Foggy,123,1.8,0
Sector 4,12,Mon,Clear,147,2.1,0
Delhi Gate,20,Wed,Foggy,55,0.8,0
Delhi Gate,17,Tue,Clear,526,7.7,1
Sector 4,12,Sun,Foggy,174,2.5,0
Surajpole,20,Thu,Rainy,100,1.5,0
Udiapole,20,Thu,Rainy,60,0.9,0
Chetak Circle,17,Tue,Cloudy,637,9.3,1
Bapu Bazaar,4,Mon,Rainy,234,3.4,0
Chetak Circle,12,Wed,Foggy,176,2.6,0
Hathi Pol,3,Wed,Foggy,189,2.8,0
Sector 4,16,Thu,Rainy,122,1.8,0
Udiapole,2,Wed,Cloudy,51,0.7,0
Bapu Bazaar,16,Sat,Rainy,57,0.8,0
Sector 4,10,Tue,Clear,468,6.8,0
Surajpole,20,Mon,Clear,188,2.7,0
Delhi Gate,19,Sat,Clear,330,4.8,0
Chetak Circle,22,Tue,Rainy,102,1.5,0
Fatehsagar,20,Fri,Rainy,277,4.0,0
Fatehsagar,3,Sun,Rainy,59,0.9,0
Udiapole,1,Thu,Clear,262,3.8,0
Surajpole,19,Wed,Cloudy,468,6.8,0
Hathi Pol,15,Fri,Foggy,161,2.3,0
Chetak Circle,17,Wed,Rainy,252,3.7,0
Surajpole,7,Sat,Cloudy,85,1.2,0
Chetak Circle,2,Mon,Foggy,270,3.9,0
Udiapole,8,Mon,Foggy,335,4.9,0
Udiapole,19,Mon,Foggy,644,9.4,1
Hathi Pol,5,Wed,Cloudy,63,0.9,0
Fatehsagar,9,Fri,Cloudy,687,10.0,1
Surajpole,20,Mon,Clear,231,3.4,0
Bapu Bazaar,9,Fri,Cloudy,533,7.8,1
Fatehsagar,12,Wed,Cloudy,262,3.8,0
Surajpole,16,Sat,Cloudy,135,2.0,0
Fatehsagar,8,Fri,Foggy,587,8.5,1
Bapu Bazaar,16,Sat,Rainy,285,4.1,0
Delhi Gate,23,Wed,Clear,99,1.4,0
Delhi Gate,8,Wed,Rainy,429,6.2,0
Hathi Pol,8,Thu,Rainy,380,5.5,0
Delhi Gate,0,Wed,Cloudy,69,1.0,0
Delhi Gate,1,Wed,Clear,265,3.9,0
Sector 4,15,Tue,Rainy,136,2.0,0
Chetak Circle,0,Mon,Rainy,184,2.7,0
Sector 4,9,Thu,Clear,429,6.2,0
Sector 4,17,Sun,Cloudy,481,7.0,0
Hathi Pol,7,Thu,Rainy,203,3.0,0
Sector 4,20,Thu,Foggy,215,3.1,0
Delhi Gate,10,Sun,Rainy,374,5.4,0
Bapu Bazaar,22,Tue,Foggy,295,4.3,0
Hathi Pol,1,Sat,Cloudy,238,3.5,0
Hathi Pol,7,Wed,Rainy,93,1.4,0
Udiapole,21,Mon,Clear,135,2.0,0
Hathi Pol,7,Fri,Clear,93,1.4,0
Udiapole,16,Sun,Rainy,123,1.8,0
Hathi Pol,14,Sat,Cloudy,168,2.4,0
Chetak Circle,16,Sun,Cloudy,239,3.5,0
Delhi Gate,22,Wed,Clear,171,2.5,0
Hathi Pol,23,Tue,Rainy,183,2.7,0
Delhi Gate,12,Sun,Cloudy,194,2.8,0
Delhi Gate,18,Wed,Clear,278,4.0,0
Fatehsagar,4,Wed,Foggy,291,4.2,0
Hathi Pol,11,Tue,Rainy,87,1.3,0
Surajpole,0,Thu,Foggy,201,2.9,0
Fatehsagar,22,Thu,Foggy,100,1.5,0
Surajpole,4,Mon,Cloudy,59,0.9,0
Delhi Gate,7,Mon,Cloudy,169,2.5,0
Delhi Gate,12,Thu,Cloudy,249,3.6,0
Fatehsagar,7,Sat,Rainy,198,2.9,0
Fatehsagar,22,Fri,Foggy,297,4.3,0
Surajpole,10,Wed,Rainy,514,7.5,1
Udiapole,0,Fri,Cloudy,134,2.0,0
Surajpole,12,Wed,Foggy,106,1.5,0
Fatehsagar,18,Thu,Rainy,404,5.9,0
Bapu Bazaar,23,Mon,Rainy,88,1.3,0
Fatehsagar,2,Sat,Clear,265,3.9,0
Bapu Bazaar,23,Mon,Rainy,82,1.2,0
Chetak Circle,16,Fri,Cloudy,236,3.4,0
Fatehsagar,4,Mon,Rainy,67,1.0,0
Chetak Circle,19,Thu,Foggy,418,6.1,0
Udiapole,20,Sat,Rainy,269,3.9,0
Surajpole,7,Fri,Clear,106,1.5,0
Bapu Bazaar,13,Sat,Foggy,293,4.3,0
Surajpole,3,Wed,Foggy,145,2.1,0
Chetak Circle,10,Mon,Clear,486,7.1,1
Bapu Bazaar,19,Sat,Cloudy,355,5.2,0
Surajpole,14,Tue,Foggy,91,1.3,0
Fatehsagar,18,Mon,Cloudy,343,5.0,0
Delhi Gate,6,Wed,Foggy,123,1.8,0
Chetak Circle,18,Sat,Foggy,345,5.0,0
Surajpole,18,Fri,Cloudy,533,7.8,1
Chetak Circle,10,Wed,Foggy,449,6.5,0
Sector 4,4,Tue,Cloudy,219,3.2,0
Chetak Circle,4,Sat,Clear,81,1.2,0
Bapu Bazaar,21,Sun,Cloudy,283,4.1,0
Sector 4,7,Sun,Clear,75,1.1,0
Hathi Pol,9,Thu,Foggy,374,5.4,0
Bapu Bazaar,5,Mon,Cloudy,124,1.8,0
Delhi Gate,14,Fri,Foggy,72,1.0,0
Sector 4,15,Thu,Cloudy,275,4.0,0
Hathi Pol,16,Sat,Clear,106,1.5,0
Fatehsagar,7,Sun,Clear,229,3.3,0
Chetak Circle,7,Sun,Cloudy,281,4.1,0
Surajpole,8,Sun,Clear,493,7.2,1
Udiapole,1,Sat,Foggy,136,2.0,0
Chetak Circle,14,Sun,Foggy,270,3.9,0
Hathi Pol,17,Wed,Rainy,461,6.7,0
Chetak Circle,2,Sat,Clear,113,1.6,0
Delhi Gate,16,Fri,Foggy,248,3.6,0
Fatehsagar,3,Thu,Cloudy,281,4.1,0
Udiapole,3,Fri,Clear,82,1.2,0
Sector 4,13,Tue,Foggy,262,3.8,0
Sector 4,8,Sun,Clear,293,4.3,0
Sector 4,8,Tue,Cloudy,296,4.3,0
Hathi Pol,22,Mon,Foggy,224,3.3,0
Bapu Bazaar,17,Mon,Rainy,461,6.7,0
Bapu Bazaar,9,Tue,Rainy,583,8.5,1
Surajpole,20,Sat,Clear,275,4.0,0
Udiapole,3,Fri,Cloudy,133,1.9,0
Sector 4,11,Tue,Foggy,84,1.2,0
Bapu Bazaar,7,Mon,Cloudy,228,3.3,0
Hathi Pol,1,Tue,Foggy,163,2.4,0
Surajpole,21,Sat,Clear,295,4.3,0
Fatehsagar,12,Tue,Foggy,195,2.8,0
Surajpole,20,Fri,Cloudy,159,2.3,0
Bapu Bazaar,15,Thu,Cloudy,137,2.0,0
Delhi Gate,1,Sat,Clear,121,1.8,0
Hathi Pol,10,Mon,Cloudy,499,7.3,1
Delhi Gate,9,Fri,Foggy,394,5.7,0
Sector 4,14,Tue,Clear,221,3.2,0
Delhi Gate,16,Tue,Foggy,102,1.5,0
Sector 4,7,Thu,Cloudy,187,2.7,0
Sector 4,17,Mon,Clear,444,6.5,0
Bapu Bazaar,22,Mon,Foggy,229,3.3,0
Delhi Gate,8,Wed,Cloudy,389,5.7,0
Sector 4,7,Mon,Cloudy,188,2.7,0
Udiapole,13,Thu,Rainy,243,3.5,0
Fatehsagar,17,Sun,Cloudy,501,7.3,1
Surajpole,21,Wed,Foggy,267,3.9,0
Surajpole,19,Wed,Clear,587,8.5,1
Bapu Bazaar,19,Tue,Rainy,608,8.9,1
Delhi Gate,20,Tue,Cloudy,224,3.3,0
Delhi Gate,11,Mon,Cloudy,62,0.9,0
Sector 4,18,Wed,Cloudy,311,4.5,0
Hathi Pol,13,Tue,Foggy,138,2.0,0
Chetak Circle,16,Thu,Rainy,117,1.7,0
Sector 4,23,Tue,Foggy,91,1.3,0
Fatehsagar,20,Sat,Rainy,196,2.9,0
Udiapole,2,Sat,Clear,259,3.8,0
Surajpole,22,Tue,Foggy,278,4.0,0
Sector 4,6,Wed,Foggy,143,2.1,0
Chetak Circle,16,Sun,Clear,68,1.0,0
Chetak Circle,11,Sun,Rainy,235,3.4,0
Sector 4,8,Wed,Cloudy,470,6.8,0
Bapu Bazaar,14,Fri,Clear,103,1.5,0
Surajpole,17,Sun,Cloudy,497,7.2,1
Bapu Bazaar,20,Sat,Cloudy,114,1.7,0
Udiapole,12,Thu,Clear,189,2.8,0
Chetak Circle,20,Wed,Rainy,73,1.1,0
Chetak Circle,7,Mon,Cloudy,83,1.2,0
Fatehsagar,13,Sat,Clear,102,1.5,0
Udiapole,7,Thu,Foggy,298,4.3,0
Chetak Circle,13,Thu,Foggy,185,2.7,0
Udiapole,6,Wed,Foggy,67,1.0,0
Surajpole,22,Thu,Clear,106,1.5,0
Delhi Gate,11,Wed,Foggy,161,2.3,0
Chetak Circle,10,Sun,Cloudy,419,6.1,0
Fatehsagar,21,Tue,Foggy,203,3.0,0
Surajpole,21,Sat,Foggy,207,3.0,0
Sector 4,10,Fri,Cloudy,585,8.5,1
Udiapole,21,Tue,Foggy,62,0.9,0
Sector 4,12,Sat,Cloudy,132,1.9,0
Bapu Bazaar,17,Wed,Foggy,317,4.6,0
Surajpole,1,Sat,Cloudy,52,0.8,0
Sector 4,20,Sun,Foggy,139,2.0,0
Hathi Pol,14,Wed,Cloudy,153,2.2,0
Hathi Pol,19,Tue,Clear,350,5.1,0
Chetak Circle,17,Mon,Cloudy,563,8.2,1
Udiapole,14,Mon,Foggy,299,4.4,0
Delhi Gate,18,Sat,Foggy,323,4.7,0
Surajpole,22,Mon,Rainy,179,2.6,0
Chetak Circle,23,Wed,Cloudy,252,3.7,0
Fatehsagar,11,Thu,Clear,157,2.3,0
Bapu Bazaar,12,Wed,Cloudy,205,3.0,0
Udiapole,21,Thu,Cloudy,131,1.9,0
Surajpole,10,Tue,Clear,446,6.5,0
Hathi Pol,4,Fri,Cloudy,278,4.0,0
Surajpole,0,Thu,Clear,263,3.8,0
Delhi Gate,23,Mon,Clear,253,3.7,0
Hathi Pol,2,Wed,Cloudy,51,0.7,0
Delhi Gate,21,Tue,Cloudy,176,2.6,0
Fatehsagar,18,Mon,Foggy,647,9.4,1
Bapu Bazaar,22,Tue,Foggy,184,2.7,0
Fatehsagar,6,Fri,Rainy,75,1.1,0
Chetak Circle,11,Sun,Rainy,267,3.9,0
Chetak Circle,14,Wed,Cloudy,137,2.0,0
Fatehsagar,4,Sat,Clear,253,3.7,0
Bapu Bazaar,14,Wed,Rainy,65,0.9,0
Fatehsagar,7,Fri,Cloudy,200,2.9,0
Bapu Bazaar,9,Wed,Rainy,586,8.5,1
Bapu Bazaar,15,Sat,Clear,237,3.4,0
Sector 4,7,Thu,Cloudy,122,1.8,0
Hathi Pol,0,Tue,Clear,81,1.2,0
Udiapole,11,Sat,Cloudy,64,0.9,0
Bapu Bazaar,4,Mon,Rainy,278,4.0,0
Delhi Gate,2,Fri,Foggy,190,2.8,0
Bapu Bazaar,0,Thu,Rainy,54,0.8,0
Bapu Bazaar,3,Mon,Rainy,252,3.7,0
Bapu Bazaar,7,Mon,Foggy,123,1.8,0
Sector 4,2,Fri,Foggy,101,1.5,0
Hathi Pol,9,Thu,Cloudy,347,5.1,0
Sector 4,1,Sun,Cloudy,218,3.2,0
Chetak Circle,10,Mon,Clear,594,8.6,1
Sector 4,9,Mon,Clear,529,7.7,1
Delhi Gate,20,Thu,Rainy,227,3.3,0
Delhi Gate,13,Wed,Foggy,192,2.8,0
Sector 4,6,Mon,Clear,155,2.3,0
Hathi Pol,1,Tue,Rainy,297,4.3,0
Fatehsagar,8,Thu,Foggy,458,6.7,0
Udiapole,15,Mon,Cloudy,56,0.8,0
Hathi Pol,12,Fri,Rainy,89,1.3,0
Sector 4,8,Sat,Cloudy,396,5.8,0
Bapu Bazaar,19,Tue,Clear,493,7.2,1
Surajpole,3,Sat,Clear,148,2.2,0
Udiapole,21,Sat,Foggy,192,2.8,0
Udiapole,9,Mon,Rainy,480,7.0,0
Delhi Gate,21,Tue,Cloudy,277,4.0,0
Udiapole,11,Tue,Foggy,134,2.0,0
Sector 4,16,Wed,Clear,247,3.6,0
Bapu Bazaar,13,Sat,Clear,114,1.7,0
Bapu Bazaar,13,Tue,Rainy,181,2.6,0
Chetak Circle,1,Wed,Cloudy,60,0.9,0
Bapu Bazaar,20,Thu,Rainy,157,2.3,0
Hathi Pol,19,Wed,Cloudy,388,5.6,0
Bapu Bazaar,10,Fri,Cloudy,492,7.2,1
Delhi Gate,15,Sun,Rainy,214,3.1,0
Bapu Bazaar,18,Mon,Foggy,376,5.5,0
Chetak Circle,22,Thu,Rainy,270,3.9,0
Surajpole,5,Sun,Rainy,134,2.0,0
Sector 4,23,Sun,Clear,289,4.2,0
Delhi Gate,18,Thu,Clear,493,7.2,1
Hathi Pol,4,Fri,Rainy,286,4.2,0
Surajpole,3,Wed,Rainy,290,4.2,0
Delhi Gate,14,Mon,Clear,268,3.9,0
Fatehsagar,3,Wed,Cloudy,280,4.1,0
Udiapole,19,Tue,Rainy,412,6.0,0
Fatehsagar,9,Wed,Foggy,469,6.8,0
Bapu Bazaar,23,Thu,Foggy,200,2.9,0
Surajpole,21,Mon,Foggy,172,2.5,0
Bapu Bazaar,2,Wed,Rainy,193,2.8,0
Udiapole,4,Mon,Cloudy,271,3.9,0
Delhi Gate,5,Mon,Cloudy,238,3.5,0
Udiapole,20,Tue,Clear,117,1.7,0
Chetak Circle,21,Tue,Rainy,153,2.2,0
Udiapole,7,Thu,Cloudy,129,1.9,0
Chetak Circle,6,Fri,Rainy,208,3.0,0
Udiapole,20,Sun,Clear,102,1.5,0
Sector 4,9,Mon,Clear,329,4.8,0
Chetak Circle,5,Fri,Clear,202,2.9,0
Surajpole,13,Sun,Foggy,93,1.4,0
Bapu Bazaar,3,Sun,Rainy,189,2.8,0
Hathi Pol,12,Thu,Clear,139,2.0,0
Bapu Bazaar,19,Sun,Rainy,372,5.4,0
Fatehsagar,16,Sun,Foggy,289,4.2,0
Bapu Bazaar,22,Mon,Foggy,146,2.1,0
Delhi Gate,6,Mon,Clear,269,3.9,0
Sector 4,3,Sat,Clear,58,0.8,0
Udiapole,13,Fri,Cloudy,61,0.9,0
Fatehsagar,2,Wed,Rainy,118,1.7,0
Delhi Gate,23,Tue,Clear,231,3.4,0
Delhi Gate,4,Wed,Cloudy,293,4.3,0
Chetak Circle,15,Fri,Rainy,231,3.4,0
Bapu Bazaar,22,Tue,Clear,77,1.1,0
Surajpole,19,Wed,Cloudy,371,5.4,0
Hathi Pol,3,Sat,Cloudy,148,2.2,0
Surajpole,23,Tue,Rainy,246,3.6,0
Fatehsagar,23,Mon,Cloudy,275,4.0,0
Sector 4,1,Wed,Rainy,159,2.3,0
Surajpole,17,Tue,Rainy,579,8.4,1
Udiapole,18,Sat,Rainy,404,5.9,0
Surajpole,18,Sun,Foggy,388,5.6,0
Fatehsagar,16,Tue,Cloudy,155,2.3,0
Hathi Pol,13,Tue,Rainy,158,2.3,0
Surajpole,18,Sat,Clear,384,5.6,0
Udiapole,21,Sun,Foggy,107,1.6,0
Chetak Circle,23,Wed,Foggy,127,1.8,0
Sector 4,12,Thu,Cloudy,124,1.8,0
Fatehsagar,11,Wed,Rainy,91,1.3,0
Chetak Circle,5,Sun,Cloudy,215,3.1,0
Chetak Circle,20,Fri,Foggy,117,1.7,0
Chetak Circle,3,Sat,Rainy,230,3.3,0
Delhi Gate,18,Wed,Clear,401,5.8,0
Sector 4,15,Tue,Rainy,120,1.7,0
Hathi Pol,12,Sat,Foggy,105,1.5,0
Bapu Bazaar,3,Mon,Clear,154,2.2,0
Sector 4,22,Sun,Rainy,249,3.6,0
Delhi Gate,16,Wed,Clear,150,2.2,0
Bapu Bazaar,22,Sat,Clear,100,1.5,0
Sector 4,0,Wed,Foggy,123,1.8,0
Chetak Circle,17,Sat,Clear,549,8.0,1
Fatehsagar,19,Tue,Cloudy,472,6.9,0
Bapu Bazaar,16,Mon,Foggy,192,2.8,0
Udiapole,14,Mon,Cloudy,215,3.1,0
Udiapole,10,Fri,Clear,523,7.6,1
Surajpole,21,Sat,Cloudy,54,0.8,0
Bapu Bazaar,12,Wed,Rainy,270,3.9,0
Fatehsagar,0,Mon,Clear,132,1.9,0
Hathi Pol,16,Sun,Rainy,231,3.4,0
Delhi Gate,5,Mon,Cloudy,100,1.5,0
Chetak Circle,3,Thu,Rainy,59,0.9,0
Surajpole,19,Thu,Clear,463,6.7,0
Udiapole,15,Mon,Rainy,295,4.3,0
Delhi Gate,14,Sat,Cloudy,53,0.8,0
Delhi Gate,14,Fri,Cloudy,144,2.1,0
Chetak Circle,5,Mon,Cloudy,195,2.8,0
Hathi Pol,14,Tue,Clear,129,1.9,0
Hathi Pol,13,Wed,Cloudy,281,4.1,0
Bapu Bazaar,10,Fri,Clear,301,4.4,0
Udiapole,6,Tue,Rainy,74,1.1,0
Hathi Pol,8,Fri,Cloudy,419,6.1,0
Fatehsagar,15,Tue,Rainy,253,3.7,0
Hathi Pol,4,Wed,Foggy,147,2.1,0
Delhi Gate,19,Wed,Rainy,487,7.1,1
Chetak Circle,9,Thu,Foggy,357,5.2,0
Fatehsagar,17,Sat,Rainy,463,6.7,0
Bapu Bazaar,2,Tue,Clear,58,0.8,0
Udiapole,12,Thu,Rainy,110,1.6,0
Bapu Bazaar,10,Tue,Clear,304,4.4,0
Delhi Gate,16,Thu,Clear,195,2.8,0
Fatehsagar,21,Wed,Cloudy,220,3.2,0
Fatehsagar,12,Fri,Clear,212,3.1,0
Fatehsagar,5,Sun,Foggy,112,1.6,0
Delhi Gate,16,Thu,Cloudy,170,2.5,0
Delhi Gate,12,Tue,Cloudy,296,4.3,0
Bapu Bazaar,18,Tue,Rainy,490,7.1,1
Surajpole,20,Sun,Clear,154,2.2,0
Bapu Bazaar,18,Sat,Clear,462,6.7,0
Udiapole,9,Wed,Foggy,452,6.6,0
Chetak Circle,2,Tue,Rainy,142,2.1,0
Fatehsagar,13,Mon,Rainy,218,3.2,0
Surajpole,18,Fri,Cloudy,453,6.6,0
Chetak Circle,4,Thu,Cloudy,227,3.3,0
Surajpole,4,Sat,Cloudy,256,3.7,0
Hathi Pol,19,Sun,Foggy,313,4.6,0
Hathi Pol,16,Fri,Foggy,219,3.2,0
Sector 4,20,Wed,Cloudy,129,1.9,0
Hathi Pol,9,Sat,Rainy,276,4.0,0
Bapu Bazaar,4,Thu,Foggy,165,2.4,0
Hathi Pol,3,Thu,Rainy,118,1.7,0
Delhi Gate,5,Sun,Rainy,147,2.1,0
Fatehsagar,3,Mon,Clear,283,4.1,0
Bapu Bazaar,6,Sun,Cloudy,50,0.7,0
Chetak Circle,6,Wed,Clear,216,3.1,0
Sector 4,17,Sat,Cloudy,498,7.2,1
Sector 4,2,Sat,Cloudy,267,3.9,0
Sector 4,0,Tue,Rainy,66,1.0,0
Chetak Circle,23,Mon,Cloudy,161,2.3,0
Chetak Circle,3,Mon,Rainy,140,2.0,0
Chetak Circle,5,Sat,Rainy,137,2.0,0
Chetak Circle,8,Sat,Cloudy,511,7.4,1
Sector 4,21,Fri,Rainy,223,3.2,0
Sector 4,13,Fri,Rainy,219,3.2,0
Surajpole,11,Fri,Rainy,295,4.3,0
Bapu Bazaar,19,Mon,Foggy,402,5.9,0
Fatehsagar,23,Tue,Rainy,139,2.0,0
Hathi Pol,3,Thu,Foggy,98,1.4,0
Hathi Pol,20,Fri,Foggy,239,3.5,0
Delhi Gate,23,Tue,Rainy,87,1.3,0
Sector 4,11,Sun,Rainy,200,2.9,0
Delhi Gate,9,Wed,Foggy,496,7.2,1
Bapu Bazaar,21,Fri,Foggy,181,2.6,0
Bapu Bazaar,6,Sun,Rainy,226,3.3,0
Delhi Gate,2,Thu,Rainy,108,1.6,0
Sector 4,22,Wed,Cloudy,250,3.6,0
Delhi Gate,13,Wed,Foggy,117,1.7,0
Hathi Pol,23,Thu,Foggy,248,3.6,0
Surajpole,9,Fri,Cloudy,516,7.5,1
Hathi Pol,15,Mon,Foggy,179,2.6,0
Udiapole,15,Thu,Clear,98,1.4,0
Sector 4,21,Thu,Foggy,265,3.9,0
Sector 4,9,Thu,Cloudy,454,6.6,0
Fatehsagar,12,Wed,Clear,296,4.3,0
Chetak Circle,5,Tue,Rainy,175,2.5,0
Udiapole,11,Sun,Cloudy,272,4.0,0
Bapu Bazaar,8,Mon,Cloudy,549,8.0,1
Sector 4,12,Fri,Rainy,208,3.0,0
Delhi Gate,3,Fri,Cloudy,160,2.3,0
Udiapole,23,Sun,Foggy,217,3.2,0
Fatehsagar,10,Tue,Rainy,458,6.7,0
Bapu Bazaar,19,Thu,Cloudy,314,4.6,0
Chetak Circle,17,Mon,Rainy,434,6.3,0
Chetak Circle,10,Fri,Rainy,505,7.4,1
Fatehsagar,20,Sun,Rainy,232,3.4,0
Fatehsagar,3,Sat,Clear,265,3.9,0
Delhi Gate,17,Sun,Cloudy,504,7.3,1
Sector 4,0,Fri,Clear,173,2.5,0
Chetak Circle,6,Thu,Cloudy,267,3.9,0
Bapu Bazaar,5,Sat,Foggy,129,1.9,0
Udiapole,14,Tue,Foggy,234,3.4,0
Bapu Bazaar,17,Mon,Foggy,426,6.2,0
Surajpole,23,Tue,Cloudy,254,3.7,0
Surajpole,10,Tue,Rainy,457,6.7,0
Fatehsagar,19,Sun,Rainy,462,6.7,0
Delhi Gate,23,Mon,Clear,245,3.6,0
Surajpole,14,Mon,Clear,257,3.7,0
Chetak Circle,15,Fri,Foggy,241,3.5,0
Bapu Bazaar,6,Fri,Clear,271,3.9,0
Bapu Bazaar,20,Mon,Cloudy,285,4.1,0
Fatehsagar,9,Sat,Cloudy,578,8.4,1
Sector 4,11,Wed,Clear,213,3.1,0
Sector 4,23,Fri,Clear,244,3.6,0
Udiapole,13,Wed,Clear,263,3.8,0
Fatehsagar,4,Sun,Clear,162,2.4,0
Hathi Pol,20,Sat,Foggy,135,2.0,0
Udiapole,17,Mon,Foggy,417,6.1,0
Hathi Pol,4,Sat,Clear,298,4.3,0
Sector 4,2,Fri,Cloudy,291,4.2,0
Fatehsagar,22,Tue,Foggy,296,4.3,0
Hathi Pol,4,Sun,Cloudy,173,2.5,0
Fatehsagar,23,Mon,Rainy,98,1.4,0
Fatehsagar,16,Thu,Cloudy,125,1.8,0
Sector 4,18,Sun,Clear,492,7.2,1
Udiapole,18,Wed,Rainy,414,6.0,0
Udiapole,20,Sat,Foggy,105,1.5,0
Fatehsagar,11,Mon,Foggy,245,3.6,0
Surajpole,8,Sun,Rainy,339,4.9,0
Delhi Gate,0,Sat,Cloudy,93,1.4,0
Sector 4,17,Mon,Foggy,412,6.0,0
Delhi Gate,20,Fri,Clear,235,3.4,0
Delhi Gate,3,Sun,Rainy,136,2.0,0
Udiapole,9,Fri,Clear,519,7.6,1
Udiapole,6,Sun,Rainy,230,3.3,0
Surajpole,21,Fri,Foggy,133,1.9,0
Delhi Gate,22,Sat,Cloudy,256,3.7,0
Delhi Gate,0,Thu,Rainy,200,2.9,0
Fatehsagar,16,Sun,Rainy,205,3.0,0
Udiapole,23,Sun,Clear,65,0.9,0
Delhi Gate,1,Fri,Foggy,214,3.1,0
Bapu Bazaar,10,Mon,Clear,563,8.2,1
Surajpole,8,Sun,Foggy,619,9.0,1
Hathi Pol,6,Fri,Clear,194,2.8,0
Bapu Bazaar,21,Tue,Rainy,291,4.2,0
Bapu Bazaar,16,Fri,Clear,86,1.3,0
Hathi Pol,16,Sat,Cloudy,126,1.8,0
Sector 4,1,Thu,Foggy,196,2.9,0
